Cd_Mun;Município;area_plantada_ha
2205458;Joca Marques (PI);669
2205508;José de Freitas (PI);7273
2205516;Juazeiro do Piauí (PI);1552
2205524;Júlio Borges (PI);1345
2205532;Jurema (PI);2816
2205540;Lagoinha do Piauí (PI);410
2205557;Lagoa Alegre (PI);925
2205565;Lagoa do Barro do Piauí (PI);1489
2205573;Lagoa de São Francisco (PI);1372
2205581;Lagoa do Piauí (PI);803
2205599;Lagoa do Sítio (PI);4405
2205607;Landri Sales (PI);9327
2205706;Luís Correia (PI);12032
2205805;Luzilândia (PI);1976
2205854;Madeiro (PI);852
2205904;Manoel Emídio (PI);1239
2205953;Marcolândia (PI);3608
2206001;Marcos Parente (PI);408
2206050;Massapê do Piauí (PI);1807
2206100;Matias Olímpio (PI);1069
2206209;Miguel Alves (PI);7060
2206308;Miguel Leão (PI);313
2206357;Milton Brandão (PI);2374
2206407;Monsenhor Gil (PI);1181
2206506;Monsenhor Hipólito (PI);5150
2206605;Monte Alegre do Piauí (PI);25450
2206654;Morro Cabeça no Tempo (PI);1678
2206670;Morro do Chapéu do Piauí (PI);1057
2206696;Murici dos Portelas (PI);1741
2206704;Nazaré do Piauí (PI);432
2206720;Nazária (PI);577
2206753;Nossa Senhora de Nazaré (PI);803
2206803;Nossa Senhora dos Remédios (PI);1048
2206902;Novo Oriente do Piauí (PI);1529
2206951;Novo Santo Antônio (PI);753
2207009;Oeiras (PI);5982
2207108;Olho D'Água do Piauí (PI);994
2207207;Padre Marcos (PI);3803
2207306;Paes Landim (PI);1161
2207355;Pajeú do Piauí (PI);1493
2207405;Palmeira do Piauí (PI);29997
2207504;Palmeirais (PI);6497
2207553;Paquetá (PI);3869
2207603;Parnaguá (PI);1669
2207702;Parnaíba (PI);1409
2207751;Passagem Franca do Piauí (PI);767
2207777;Patos do Piauí (PI);2734
2207793;Pau D'Arco do Piauí (PI);649
2207801;Paulistana (PI);4032
2207850;Pavussu (PI);1700
2207900;Pedro II (PI);4055
2207934;Pedro Laurentino (PI);761
2207959;Nova Santa Rita (PI);1902
2208007;Picos (PI);5325
2208106;Pimenteiras (PI);4766
2208205;Pio IX (PI);40116
2208304;Piracuruca (PI);5152
2208403;Piripiri (PI);3614
2208502;Porto (PI);618
2208551;Porto Alegre do Piauí (PI);345
2208601;Prata do Piauí (PI);153
2208650;Queimada Nova (PI);2255
2208700;Redenção do Gurguéia (PI);2176
2208809;Regeneração (PI);12692
2208858;Riacho Frio (PI);647
2208874;Ribeira do Piauí (PI);561
2208908;Ribeiro Gonçalves (PI);102814
2209005;Rio Grande do Piauí (PI);1338
2209104;Santa Cruz do Piauí (PI);1185
2209153;Santa Cruz dos Milagres (PI);677
2209203;Santa Filomena (PI);78380
2209302;Santa Luz (PI);1609
2209351;Santana do Piauí (PI);2659
2209377;Santa Rosa do Piauí (PI);1484
2209401;Santo Antônio de Lisboa (PI);4174
2209450;Santo Antônio dos Milagres (PI);257
2209500;Santo Inácio do Piauí (PI);554
2209559;São Braz do Piauí (PI);2621
2209609;São Félix do Piauí (PI);814
2209658;São Francisco de Assis do Piauí (PI);1595
2209708;São Francisco do Piauí (PI);1288
2209757;São Gonçalo do Gurguéia (PI);1603
2209807;São Gonçalo do Piauí (PI);3300
2209856;São João da Canabrava (PI);4038
2209872;São João da Fronteira (PI);676
2209906;São João da Serra (PI);967
2209955;São João da Varjota (PI);1169
2209971;São João do Arraial (PI);702
2210003;São João do Piauí (PI);1282
2210052;São José do Divino (PI);872
2210102;São José do Peixe (PI);1208
2210201;São José do Piauí (PI);5465
2210300;São Julião (PI);1788
2210359;São Lourenço do Piauí (PI);965
2210375;São Luis do Piauí (PI);2106
2210383;São Miguel da Baixa Grande (PI);802
2210391;São Miguel do Fidalgo (PI);984
2210409;São Miguel do Tapuio (PI);4492
2210508;São Pedro do Piauí (PI);3074
2210607;São Raimundo Nonato (PI);2959
2210623;Sebastião Barros (PI);1840
2210631;Sebastião Leal (PI);35562
2210656;Sigefredo Pacheco (PI);2847
2210706;Simões (PI);7337
2210805;Simplício Mendes (PI);1819
2210904;Socorro do Piauí (PI);1498
2210938;Sussuapara (PI);392
2210953;Tamboril do Piauí (PI);1618
2210979;Tanque do Piauí (PI);2091
2211001;Teresina (PI);6356
2211100;União (PI);11647
2211209;Uruçuí (PI);244631
2211308;Valença do Piauí (PI);2378
2211357;Várzea Branca (PI);1959
2211407;Várzea Grande (PI);886
2211506;Vera Mendes (PI);1624
2211605;Vila Nova do Piauí (PI);5410
2211704;Wall Ferraz (PI);1589
2300101;Abaiara (CE);2732
2300150;Acarape (CE);1439
2300200;Acaraú (CE);18727
2300309;Acopiara (CE);15297
2300408;Aiuaba (CE);9221
2300507;Alcântaras (CE);2668
2300606;Altaneira (CE);841
2300705;Alto Santo (CE);8775
2300754;Amontada (CE);20687
2300804;Antonina do Norte (CE);1018
2300903;Apuiarés (CE);4210
2301000;Aquiraz (CE);2731
2301109;Aracati (CE);13667
2301208;Aracoiaba (CE);10694
2301257;Ararendá (CE);2201
2301307;Araripe (CE);8304
2301406;Aratuba (CE);4554
2301505;Arneiroz (CE);3412
2301604;Assaré (CE);7743
2301703;Aurora (CE);1515
2301802;Baixio (CE);978
2301851;Banabuiú (CE);2564
2301901;Barbalha (CE);2557
2301950;Barreira (CE);12296
2302008;Barro (CE);3205
2302057;Barroquinha (CE);2281
2302107;Baturité (CE);6841
2302206;Beberibe (CE);34699
2302305;Bela Cruz (CE);40831
2302404;Boa Viagem (CE);17385
2302503;Brejo Santo (CE);3636
2302602;Camocim (CE);15408
2302701;Campos Sales (CE);6342
2302800;Canindé (CE);20884
2302909;Capistrano (CE);6046
2303006;Caridade (CE);13505
2303105;Cariré (CE);7314
2303204;Caririaçu (CE);3596
2303303;Cariús (CE);2170
2303402;Carnaubal (CE);2510
2303501;Cascavel (CE);13786
2303600;Catarina (CE);2285
2303659;Catunda (CE);15232
2303709;Caucaia (CE);6736
2303808;Cedro (CE);2484
2303907;Chaval (CE);1271
2303931;Choró (CE);3653
2303956;Chorozinho (CE);16124
2304004;Coreaú (CE);3236
2304103;Crateús (CE);28860
2304202;Crato (CE);4003
2304236;Croatá (CE);5371
2304251;Cruz (CE);17613
2304269;Deputado Irapuan Pinheiro (CE);6377
2304277;Ererê (CE);1619
2304285;Eusébio (CE);112
2304301;Farias Brito (CE);6466
2304350;Forquilha (CE);4437
2304400;Fortaleza (CE);9
2304459;Fortim (CE);7502
2304509;Frecheirinha (CE);2443
2304608;General Sampaio (CE);1844
2304657;Graça (CE);4199
2304707;Granja (CE);17035
2304806;Granjeiro (CE);1169
2304905;Groaíras (CE);1520
2304954;Guaiúba (CE);1056
2305001;Guaraciaba do Norte (CE);11416
2305100;Guaramiranga (CE);609
2305209;Hidrolândia (CE);6023
2305233;Horizonte (CE);3053
2305266;Ibaretama (CE);4313
2305308;Ibiapina (CE);6941
2305332;Ibicuitinga (CE);5954
2305357;Icapuí (CE);9484
2305407;Icó (CE);11009
2305506;Iguatu (CE);7883
2305605;Independência (CE);11650
2305654;Ipaporanga (CE);7288
2305704;Ipaumirim (CE);2326
2305803;Ipu (CE);8900
2305902;Ipueiras (CE);5922
2306009;Iracema (CE);1136
2306108;Irauçuba (CE);6033
2306207;Itaiçaba (CE);802
2306256;Itaitinga (CE);802
2306306;Itapajé (CE);9266
2306405;Itapipoca (CE);40749
2306504;Itapiúna (CE);5712
2306553;Itarema (CE);25767
2306603;Itatira (CE);8587
2306702;Jaguaretama (CE);3478
2306801;Jaguaribara (CE);764
2306900;Jaguaribe (CE);3231
2307007;Jaguaruana (CE);3355
2307106;Jardim (CE);2378
2307205;Jati (CE);1174
2307254;Jijoca de Jericoacoara (CE);6027
2307304;Juazeiro do Norte (CE);1419
2307403;Jucás (CE);3030
2307502;Lavras da Mangabeira (CE);3687
2307601;Limoeiro do Norte (CE);8949
2307635;Madalena (CE);11142
2307650;Maracanaú (CE);463
2307700;Maranguape (CE);3160
2307809;Marco (CE);11390
2307908;Martinópole (CE);5737
2308005;Massapê (CE);4421
2308104;Mauriti (CE);13603
2308203;Meruoca (CE);957
2308302;Milagres (CE);3373
2308351;Milhã (CE);8499
2308377;Miraíma (CE);1713
2308401;Missão Velha (CE);5979
2308500;Mombaça (CE);17504
2308609;Monsenhor Tabosa (CE);7198
2308708;Morada Nova (CE);11663
2308807;Moraújo (CE);1628
2308906;Morrinhos (CE);8521
2309003;Mucambo (CE);3628
2309102;Mulungu (CE);3889
2309201;Nova Olinda (CE);2813
2309300;Nova Russas (CE);1799
2309409;Novo Oriente (CE);18091
2309458;Ocara (CE);23765
2309508;Orós (CE);2526
2309607;Pacajus (CE);8906
2309706;Pacatuba (CE);753
2309805;Pacoti (CE);1885
2309904;Pacujá (CE);963
2310001;Palhano (CE);7145
2310100;Palmácia (CE);1890
2310209;Paracuru (CE);2736
2310258;Paraipaba (CE);12204
2310308;Parambu (CE);20053
2310407;Paramoti (CE);15238
2310506;Pedra Branca (CE);13534
2310605;Penaforte (CE);1431
2310704;Pentecoste (CE);4978
2310803;Pereiro (CE);5370
2310852;Pindoretama (CE);1961
2310902;Piquet Carneiro (CE);5453
2310951;Pires Ferreira (CE);4970
2311009;Poranga (CE);2063
2311108;Porteiras (CE);3443
2311207;Potengi (CE);3353
2311231;Potiretama (CE);4625
2311264;Quiterianópolis (CE);9347
2311306;Quixadá (CE);9035
2311355;Quixelô (CE);2871
2311405;Quixeramobim (CE);16765
2311504;Quixeré (CE);4636
2311603;Redenção (CE);6850
2311702;Reriutaba (CE);5726
2311801;Russas (CE);7048
2311900;Saboeiro (CE);3134
2311959;Salitre (CE);10978
2312007;Santana do Acaraú (CE);8547
2312106;Santana do Cariri (CE);2140
2312205;Santa Quitéria (CE);36453
2312304;São Benedito (CE);9522
2312403;São Gonçalo do Amarante (CE);4217
2312502;São João do Jaguaribe (CE);1448
2312601;São Luís do Curu (CE);1733
2312700;Senador Pompeu (CE);13596
2312809;Senador Sá (CE);1992
2312908;Sobral (CE);8561
2313005;Solonópole (CE);9117
2313104;Tabuleiro do Norte (CE);2282
2313203;Tamboril (CE);19999
2313252;Tarrafas (CE);2620
2313302;Tauá (CE);22081
2313351;Tejuçuoca (CE);4439
2313401;Tianguá (CE);8791
2313500;Trairi (CE);23399
2313559;Tururu (CE);10961
2313609;Ubajara (CE);5750
2313708;Umari (CE);1554
2313757;Umirim (CE);5675
2313807;Uruburetama (CE);5657
2313906;Uruoca (CE);6993
2313955;Varjota (CE);4977
2314003;Várzea Alegre (CE);3147
2314102;Viçosa do Ceará (CE);13058
2400109;Acari (RN);454
2400208;Açu (RN);2452
2400307;Afonso Bezerra (RN);1297
2400406;Água Nova (RN);348
2400505;Alexandria (RN);511
2400604;Almino Afonso (RN);297
2400703;Alto do Rodrigues (RN);1673
2400802;Angicos (RN);750
2400901;Antônio Martins (RN);825
2401008;Apodi (RN);4721
2401107;Areia Branca (RN);1845
2401206;Arês (RN);5396
2401305;Augusto Severo (RN);515
2401404;Baía Formosa (RN);20400
2401453;Baraúna (RN);12020
2401503;Barcelona (RN);619
2401602;Bento Fernandes (RN);327
2401651;Bodó (RN);4522
2401701;Bom Jesus (RN);2105
2401800;Brejinho (RN);375
2401859;Caiçara do Norte (RN);2864
2401909;Caiçara do Rio do Vento (RN);325
2402006;Caicó (RN);118
2402105;Campo Redondo (RN);1074
2402204;Canguaretama (RN);15806
2402303;Caraúbas (RN);1685
2402402;Carnaúba dos Dantas (RN);363
2402501;Carnaubais (RN);3285
2402600;Ceará-Mirim (RN);8060
2402709;Cerro Corá (RN);9030
2402808;Coronel Ezequiel (RN);1185
2402907;Coronel João Pessoa (RN);632
2403004;Cruzeta (RN);239
2403103;Currais Novos (RN);344
2403202;Doutor Severiano (RN);954
2403251;Parnamirim (RN);220
2403301;Encanto (RN);387
2403400;Equador (RN);336
2403509;Espírito Santo (RN);167
2403608;Extremoz (RN);630
2403707;Felipe Guerra (RN);503
2403756;Fernando Pedroza (RN);160
2403806;Florânia (RN);1789
2403905;Francisco Dantas (RN);471
2404002;Frutuoso Gomes (RN);459
2404101;Galinhos (RN);534
2404200;Goianinha (RN);6513
2404309;Governador Dix-Sept Rosado (RN);3981
2404408;Grossos (RN);615
2404507;Guamaré (RN);1316
2404606;Ielmo Marinho (RN);2255
2404705;Ipanguaçu (RN);1882
2404804;Ipueira (RN);316
2404853;Itajá (RN);220
2404903;Itaú (RN);1393
2405009;Jaçanã (RN);1217
2405108;Jandaíra (RN);850
2405207;Janduís (RN);331
2405306;Januário Cicco (RN);2380
2405405;Japi (RN);503
2405504;Jardim de Angicos (RN);365
2405603;Jardim de Piranhas (RN);218
2405702;Jardim do Seridó (RN);242
2405801;João Câmara (RN);1041
2405900;João Dias (RN);336
2406007;José da Penha (RN);1158
2406106;Jucurutu (RN);535
2406155;Jundiá (RN);530
2406205;Lagoa d'Anta (RN);1746
2406304;Lagoa de Pedras (RN);474
2406403;Lagoa de Velhos (RN);522
2406502;Lagoa Nova (RN);5916
2406601;Lagoa Salgada (RN);824
2406700;Lajes (RN);1150
2406809;Lajes Pintadas (RN);571
2406908;Lucrécia (RN);483
2407005;Luís Gomes (RN);738
2407104;Macaíba (RN);3767
2407203;Macau (RN);525
2407252;Major Sales (RN);334
2407302;Marcelino Vieira (RN);817
2407401;Martins (RN);486
2407500;Maxaranguape (RN);2107
2407609;Messias Targino (RN);308
2407708;Montanhas (RN);205
2407807;Monte Alegre (RN);655
2407906;Monte das Gameleiras (RN);896
2408003;Mossoró (RN);18029
2408102;Natal (RN);-9999
2408201;Nísia Floresta (RN);3423
2408300;Nova Cruz (RN);847
2408409;Olho d'Água do Borges (RN);1112
2408508;Ouro Branco (RN);182
2408607;Paraná (RN);625
2408706;Paraú (RN);300
2408805;Parazinho (RN);517
2408904;Parelhas (RN);679
2408953;Rio do Fogo (RN);2511
2409100;Passa e Fica (RN);1801
2409209;Passagem (RN);180
2409308;Patu (RN);798
2409332;Santa Maria (RN);619
2409407;Pau dos Ferros (RN);919
2409506;Pedra Grande (RN);395
2409605;Pedra Preta (RN);1110
2409704;Pedro Avelino (RN);750
2409803;Pedro Velho (RN);3155
2409902;Pendências (RN);1054
2410009;Pilões (RN);402
2410108;Poço Branco (RN);1647
2410207;Portalegre (RN);749
2410256;Porto do Mangue (RN);1620
2410306;Serra Caiada (RN);2194
2410405;Pureza (RN);6938
2410504;Rafael Fernandes (RN);211
2410603;Rafael Godeiro (RN);468
2410702;Riacho da Cruz (RN);295
2410801;Riacho de Santana (RN);457
2410900;Riachuelo (RN);946
2411007;Rodolfo Fernandes (RN);464
2411056;Tibau (RN);2640
2411106;Ruy Barbosa (RN);638
2411205;Santa Cruz (RN);2572
2411403;Santana do Matos (RN);3570
2411429;Santana do Seridó (RN);311
2411502;Santo Antônio (RN);3737
2411601;São Bento do Norte (RN);600
2411700;São Bento do Trairí (RN);1034
2411809;São Fernando (RN);159
2411908;São Francisco do Oeste (RN);412
2412005;São Gonçalo do Amarante (RN);1739
2412104;São João do Sabugi (RN);252
2412203;São José de Mipibu (RN);5880
2412302;São José do Campestre (RN);4146
2412401;São José do Seridó (RN);440
2412500;São Miguel (RN);2150
2412559;São Miguel do Gostoso (RN);2172
2412609;São Paulo do Potengi (RN);1840
2412708;São Pedro (RN);1402
2412807;São Rafael (RN);500
2412906;São Tomé (RN);1121
2413003;São Vicente (RN);737
2413102;Senador Elói de Souza (RN);1403
2413201;Senador Georgino Avelino (RN);304
2413300;Serra de São Bento (RN);937
2413359;Serra do Mel (RN);32420
2413409;Serra Negra do Norte (RN);787
2413508;Serrinha (RN);135
2413557;Serrinha dos Pintos (RN);330
2413607;Severiano Melo (RN);947
2413706;Sítio Novo (RN);640
2413805;Taboleiro Grande (RN);285
2413904;Taipu (RN);2730
2414001;Tangará (RN);1072
2414100;Tenente Ananias (RN);404
2414159;Tenente Laurentino Cruz (RN);2638
2414209;Tibau do Sul (RN);2600
2414308;Timbaúba dos Batistas (RN);125
2414407;Touros (RN);11932
2414456;Triunfo Potiguar (RN);393
2414506;Umarizal (RN);681
2414605;Upanema (RN);1900
2414704;Várzea (RN);180
2414753;Venha-Ver (RN);807
2414803;Vera Cruz (RN);2400
2414902;Viçosa (RN);151
2415008;Vila Flor (RN);425
2500106;Água Branca (PB);1615
2500205;Aguiar (PB);953
2500304;Alagoa Grande (PB);5898
2500403;Alagoa Nova (PB);6697
2500502;Alagoinha (PB);1210
2500536;Alcantil (PB);531
2500577;Algodão de Jandaíra (PB);212
2500601;Alhandra (PB);4030
2500700;São João do Rio do Peixe (PB);1057
2500734;Amparo (PB);702
2500775;Aparecida (PB);478
2500809;Araçagi (PB);4477
2500908;Arara (PB);3040
2501005;Araruna (PB);3872
2501104;Areia (PB);3114
2501153;Areia de Baraúnas (PB);419
2501203;Areial (PB);1180
2501302;Aroeiras (PB);1207
2501351;Assunção (PB);566
2501401;Baía da Traição (PB);1986
2501500;Bananeiras (PB);3338
2501534;Baraúna (PB);908
2501575;Barra de Santana (PB);97
2501609;Barra de Santa Rosa (PB);5110
2501708;Barra de São Miguel (PB);775
2501807;Bayeux (PB);13
2501906;Belém (PB);1161
2502003;Belém do Brejo do Cruz (PB);226
2502052;Bernardino Batista (PB);556
2502102;Boa Ventura (PB);600
2502151;Boa Vista (PB);118
2502201;Bom Jesus (PB);203
2502300;Bom Sucesso (PB);791
2502409;Bonito de Santa Fé (PB);1477
2502508;Boqueirão (PB);869
2502607;Igaracy (PB);807
2502706;Borborema (PB);1348
2502805;Brejo do Cruz (PB);425
2502904;Brejo dos Santos (PB);284
2503001;Caaporã (PB);1668
2503100;Cabaceiras (PB);282
2503209;Cabedelo (PB);-9999
2503308;Cachoeira dos Índios (PB);593
2503407;Cacimba de Areia (PB);834
2503506;Cacimba de Dentro (PB);3577
2503555;Cacimbas (PB);1445
2503605;Caiçara (PB);540
2503704;Cajazeiras (PB);506
2503753;Cajazeirinhas (PB);404
2503803;Caldas Brandão (PB);513
2503902;Camalaú (PB);319
2504009;Campina Grande (PB);3379
2504033;Capim (PB);1678
2504074;Caraúbas (PB);535
2504108;Carrapateira (PB);158
2504157;Casserengue (PB);5378
2504207;Catingueira (PB);834
2504306;Catolé do Rocha (PB);617
2504355;Caturité (PB);791
2504405;Conceição (PB);2358
2504504;Condado (PB);515
2504603;Conde (PB);1619
2504702;Congo (PB);476
2504801;Coremas (PB);646
2504850;Coxixola (PB);411
2504900;Cruz do Espírito Santo (PB);6753
2505006;Cubati (PB);1465
2505105;Cuité (PB);3529
2505204;Cuitegi (PB);515
2505238;Cuité de Mamanguape (PB);1728
2505279;Curral de Cima (PB);1039
2505303;Curral Velho (PB);520
2505352;Damião (PB);1769
2505402;Desterro (PB);1046
2505501;Vista Serrana (PB);135
2505600;Diamante (PB);910
2505709;Dona Inês (PB);2122
2505808;Duas Estradas (PB);476
2505907;Emas (PB);612
2506004;Esperança (PB);2036
2506103;Fagundes (PB);1329
2506202;Frei Martinho (PB);248
2506251;Gado Bravo (PB);949
2506301;Guarabira (PB);935
2506400;Gurinhém (PB);2280
2506509;Gurjão (PB);602
2506608;Ibiara (PB);1104
2506707;Imaculada (PB);1990
2506806;Ingá (PB);1368
2506905;Itabaiana (PB);1989
2507002;Itaporanga (PB);2025
2507101;Itapororoca (PB);5148
2507200;Itatuba (PB);1744
2507309;Jacaraú (PB);3311
2507408;Jericó (PB);484
2507507;João Pessoa (PB);180
2507606;Juarez Távora (PB);648
2507705;Juazeirinho (PB);2068
2507804;Junco do Seridó (PB);1244
2507903;Juripiranga (PB);4886
2508000;Juru (PB);1842
2508109;Lagoa (PB);124
2508208;Lagoa de Dentro (PB);794
2508307;Lagoa Seca (PB);2044
2508406;Lastro (PB);175
2508505;Livramento (PB);1658
2508554;Logradouro (PB);265
2508604;Lucena (PB);2935
2508703;Mãe d'Água (PB);521
2508802;Malta (PB);246
2508901;Mamanguape (PB);8962
2509008;Manaíra (PB);2508
2509057;Marcação (PB);3627
2509107;Mari (PB);4332
2509156;Marizópolis (PB);266
2509206;Massaranduba (PB);2381
2509305;Mataraca (PB);4259
2509339;Matinhas (PB);2206
2509370;Mato Grosso (PB);252
2509396;Maturéia (PB);1928
2509404;Mogeiro (PB);3229
2509503;Montadas (PB);1220
2509602;Monte Horebe (PB);536
2509701;Monteiro (PB);5183
2509800;Mulungu (PB);1227
2509909;Natuba (PB);1408
2510006;Nazarezinho (PB);588
2510105;Nova Floresta (PB);805
2510204;Nova Olinda (PB);618
2510303;Nova Palmeira (PB);829
2510402;Olho d'Água (PB);1335
2510501;Olivedos (PB);530
2510600;Ouro Velho (PB);478
2510659;Parari (PB);370
2510709;Passagem (PB);285
2510808;Patos (PB);871
2510907;Paulista (PB);292
2511004;Pedra Branca (PB);702
2511103;Pedra Lavrada (PB);2572
2511202;Pedras de Fogo (PB);18261
2511301;Piancó (PB);1257
2511400;Picuí (PB);2788
2511509;Pilar (PB);1025
2511608;Pilões (PB);2474
2511707;Pilõezinhos (PB);1068
2511806;Pirpirituba (PB);595
2511905;Pitimbu (PB);2289
2512002;Pocinhos (PB);2712
2512036;Poço Dantas (PB);465
2512077;Poço de José de Moura (PB);542
2512101;Pombal (PB);407
2512200;Prata (PB);294
2512309;Princesa Isabel (PB);4458
2512408;Puxinanã (PB);2667
2512507;Queimadas (PB);2614
2512606;Quixaba (PB);214
2512705;Remígio (PB);1288
2512721;Pedro Régis (PB);590
2512747;Riachão (PB);670
2512754;Riachão do Bacamarte (PB);457
2512762;Riachão do Poço (PB);457
2512788;Riacho de Santo Antônio (PB);115
2512804;Riacho dos Cavalos (PB);906
2512903;Rio Tinto (PB);9898
2513000;Salgadinho (PB);834
2513109;Salgado de São Félix (PB);688
2513158;Santa Cecília (PB);834
2513208;Santa Cruz (PB);181
2513307;Santa Helena (PB);956
2513356;Santa Inês (PB);642
2513406;Santa Luzia (PB);665
2513505;Santana de Mangueira (PB);1253
2513604;Santana dos Garrotes (PB);1036
2513653;Joca Claudino (PB);353
2513703;Santa Rita (PB);16262
2513802;Santa Teresinha (PB);660
2513851;Santo André (PB);1247
2513901;São Bento (PB);449
2513927;São Bentinho (PB);230
2513943;São Domingos do Cariri (PB);345
2513968;São Domingos (PB);145
2513984;São Francisco (PB);242
2514008;São João do Cariri (PB);816
2514107;São João do Tigre (PB);802
2514206;São José da Lagoa Tapada (PB);589
2514305;São José de Caiana (PB);830
2514404;São José de Espinharas (PB);781
2514453;São José dos Ramos (PB);1074
2514503;São José de Piranhas (PB);860
2514552;São José de Princesa (PB);2189
2514602;São José do Bonfim (PB);507
2514651;São José do Brejo do Cruz (PB);380
2514701;São José do Sabugi (PB);565
2514800;São José dos Cordeiros (PB);1203
2514909;São Mamede (PB);702
2515005;São Miguel de Taipu (PB);748
2515104;São Sebastião de Lagoa de Roça (PB);743
2515203;São Sebastião do Umbuzeiro (PB);420
2515302;Sapé (PB);11825
2515401;São Vicente do Seridó (PB);2192
2515500;Serra Branca (PB);1625
2515609;Serra da Raiz (PB);419
2515708;Serra Grande (PB);605
2515807;Serra Redonda (PB);608
2515906;Serraria (PB);1300
2515930;Sertãozinho (PB);522
2515971;Sobrado (PB);842
2516003;Solânea (PB);2029
2516102;Soledade (PB);1025
2516151;Sossêgo (PB);415
2516201;Sousa (PB);3357
2516300;Sumé (PB);1820
2516409;Tacima (PB);1703
2516508;Taperoá (PB);2027
2516607;Tavares (PB);4175
2516706;Teixeira (PB);2271
2516755;Tenório (PB);692
2516805;Triunfo (PB);819
2516904;Uiraúna (PB);833
2517001;Umbuzeiro (PB);534
2517100;Várzea (PB);510
2517209;Vieirópolis (PB);441
2517407;Zabelê (PB);422
2600054;Abreu e Lima (PE);371
2600104;Afogados da Ingazeira (PE);4138
2600203;Afrânio (PE);6400
2600302;Agrestina (PE);673
2600401;Água Preta (PE);3420
2600500;Águas Belas (PE);3331
2600609;Alagoinha (PE);245
2600708;Aliança (PE);10126
2600807;Altinho (PE);1249
2600906;Amaraji (PE);7927
2601003;Angelim (PE);874
2601052;Araçoiaba (PE);1129
2601102;Araripina (PE);27030
2601201;Arcoverde (PE);1153
2601300;Barra de Guabiraba (PE);1628
2601409;Barreiros (PE);3020
2601508;Belém de Maria (PE);1430
2601607;Belém do São Francisco (PE);5400
2601706;Belo Jardim (PE);760
2601805;Betânia (PE);5076
2601904;Bezerros (PE);1649
2602001;Bodocó (PE);10600
2602100;Bom Conselho (PE);3390
2602209;Bom Jardim (PE);4521
2602308;Bonito (PE);3280
2602407;Brejão (PE);728
2602506;Brejinho (PE);2744
2602605;Brejo da Madre de Deus (PE);370
2602704;Buenos Aires (PE);3214
2602803;Buíque (PE);2600
2602902;Cabo de Santo Agostinho (PE);8963
2603009;Cabrobó (PE);4058
2603108;Cachoeirinha (PE);620
2603207;Caetés (PE);8782
2603306;Calçado (PE);5740
2603405;Calumbi (PE);683
2603454;Camaragibe (PE);420
2603504;Camocim de São Félix (PE);235
2603603;Camutanga (PE);2371
2603702;Canhotinho (PE);2692
2603801;Capoeiras (PE);1548
2603900;Carnaíba (PE);8068
2603926;Carnaubeira da Penha (PE);3174
2604007;Carpina (PE);2038
2604106;Caruaru (PE);1665
2604155;Casinhas (PE);2300
2604205;Catende (PE);905
2604304;Cedro (PE);1806
2604403;Chã de Alegria (PE);2719
2604502;Chã Grande (PE);225
2604601;Condado (PE);2078
2604700;Correntes (PE);2880
2604809;Cortês (PE);2078
2604908;Cumaru (PE);1944
2605004;Cupira (PE);902
2605103;Custódia (PE);6042
2605152;Dormentes (PE);7520
2605202;Escada (PE);7055
2605301;Exu (PE);17375
2605400;Feira Nova (PE);401
2605459;Fernando de Noronha (PE);-9999
2605509;Ferreiros (PE);3064
2605608;Flores (PE);16387
2605707;Floresta (PE);2786
2605806;Frei Miguelinho (PE);835
2605905;Gameleira (PE);10359
2606002;Garanhuns (PE);2974
2606101;Glória do Goitá (PE);2152
2606200;Goiana (PE);13042
2606309;Granito (PE);800
2606408;Gravatá (PE);1640
2606507;Iati (PE);2453
2606606;Ibimirim (PE);1005
2606705;Ibirajuba (PE);1350
2606804;Igarassu (PE);6701
2606903;Iguaracy (PE);4724
2607000;Inajá (PE);3445
2607109;Ingazeira (PE);1521
2607208;Ipojuca (PE);22694
2607307;Ipubi (PE);15250
2607406;Itacuruba (PE);356
2607505;Itaíba (PE);4515
2607604;Ilha de Itamaracá (PE);11
2607653;Itambé (PE);15250
2607703;Itapetim (PE);3881
2607752;Itapissuma (PE);1847
2607802;Itaquitinga (PE);5189
2607901;Jaboatão dos Guararapes (PE);1695
2607950;Jaqueira (PE);1090
2608008;Jataúba (PE);510
2608057;Jatobá (PE);289
2608107;João Alfredo (PE);1085
2608206;Joaquim Nabuco (PE);1520
2608255;Jucati (PE);4685
2608305;Jupi (PE);2110
2608404;Jurema (PE);3650
2608453;Lagoa do Carro (PE);743
2608503;Lagoa de Itaenga (PE);2101
2608602;Lagoa do Ouro (PE);794
2608701;Lagoa dos Gatos (PE);831
2608750;Lagoa Grande (PE);5325
2608800;Lajedo (PE);1250
2608909;Limoeiro (PE);3119
2609006;Macaparana (PE);3765
2609105;Machados (PE);3308
2609154;Manari (PE);4075
2609204;Maraial (PE);1520
2609303;Mirandiba (PE);2830
2609402;Moreno (PE);6550
2609501;Nazaré da Mata (PE);4234
2609600;Olinda (PE);-9999
2609709;Orobó (PE);2529
2609808;Orocó (PE);2781
2609907;Ouricuri (PE);20260
2610004;Palmares (PE);2174
2610103;Palmeirina (PE);428
2610202;Panelas (PE);2515
2610301;Paranatama (PE);2347
2610400;Parnamirim (PE);2420
2610509;Passira (PE);1878
2610608;Paudalho (PE);6276
2610707;Paulista (PE);-9999
2610806;Pedra (PE);2147
2610905;Pesqueira (PE);1060
